Stock,Percentile,Abs Change Percentage,Peak Abs Change Percentage
NIFTY,1,20.18,25.49
NIFTY,2,8.25,10.79
NIFTY,3,6.74,8.93
NIFTY,4,5.62,7.95
NIFTY,5,5.33,7.22
NIFTY,6,4.89,6.62
NIFTY,7,4.69,6.01
NIFTY,8,4.41,5.51
NIFTY,9,4.17,5.33
NIFTY,10,4.02,5.14
NIFTY,11,3.88,4.97
NIFTY,12,3.76,4.8
NIFTY,13,3.62,4.67
NIFTY,14,3.51,4.5
NIFTY,15,3.37,4.35
NIFTY,16,3.23,4.25
NIFTY,17,3.1,4.17
NIFTY,18,3.01,4.09
NIFTY,19,2.88,4.01
NIFTY,20,2.82,3.93
NIFTY,21,2.73,3.86
NIFTY,22,2.67,3.75
NIFTY,23,2.59,3.66
NIFTY,24,2.5,3.6
NIFTY,25,2.46,3.49
NIFTY,26,2.4,3.4
NIFTY,27,2.33,3.3
NIFTY,28,2.28,3.22
NIFTY,29,2.22,3.17
NIFTY,30,2.18,3.11
NIFTY,31,2.15,3.01
NIFTY,32,2.08,2.96
NIFTY,33,2.04,2.91
NIFTY,34,1.99,2.89
NIFTY,35,1.95,2.81
NIFTY,36,1.89,2.75
NIFTY,37,1.87,2.72
NIFTY,38,1.83,2.67
NIFTY,39,1.79,2.62
NIFTY,40,1.76,2.57
NIFTY,41,1.72,2.52
NIFTY,42,1.69,2.49
NIFTY,43,1.64,2.46
NIFTY,44,1.6,2.41
NIFTY,45,1.54,2.37
NIFTY,46,1.5,2.34
NIFTY,47,1.48,2.31
NIFTY,48,1.43,2.29
NIFTY,49,1.41,2.26
NIFTY,50,1.37,2.22
NIFTY,51,1.35,2.19
NIFTY,52,1.33,2.14
NIFTY,53,1.3,2.11
NIFTY,54,1.28,2.07
NIFTY,55,1.26,2.04
NIFTY,56,1.23,2.02
NIFTY,57,1.21,1.99
NIFTY,58,1.18,1.95
NIFTY,59,1.15,1.92
NIFTY,60,1.12,1.88
NIFTY,61,1.09,1.85
NIFTY,62,1.06,1.8
NIFTY,63,1.03,1.78
NIFTY,64,1.0,1.74
NIFTY,65,0.96,1.72
NIFTY,66,0.94,1.69
NIFTY,67,0.92,1.66
NIFTY,68,0.9,1.63
NIFTY,69,0.86,1.6
NIFTY,70,0.83,1.59
NIFTY,71,0.79,1.56
NIFTY,72,0.76,1.54
NIFTY,73,0.73,1.51
NIFTY,74,0.71,1.48
NIFTY,75,0.69,1.46
NIFTY,76,0.66,1.44
NIFTY,77,0.63,1.42
NIFTY,78,0.6,1.4
NIFTY,79,0.58,1.37
NIFTY,80,0.56,1.33
NIFTY,81,0.53,1.31
NIFTY,82,0.5,1.29
NIFTY,83,0.47,1.27
NIFTY,84,0.44,1.22
NIFTY,85,0.42,1.18
NIFTY,86,0.39,1.16
NIFTY,87,0.36,1.12
NIFTY,88,0.34,1.09
NIFTY,89,0.32,1.06
NIFTY,90,0.29,1.04
NIFTY,91,0.26,1.01
NIFTY,92,0.24,0.98
NIFTY,93,0.21,0.94
NIFTY,94,0.18,0.91
NIFTY,95,0.16,0.88
NIFTY,96,0.13,0.82
NIFTY,97,0.12,0.78
NIFTY,98,0.09,0.73
NIFTY,99,0.06,0.69
NIFTY,100,0.03,0.58
