Stock,Percentile,Abs Change Percentage,Peak Abs Change Percentage
NIFTY,1,8.3,14.6
NIFTY,2,4.16,5.53
NIFTY,3,3.54,4.36
NIFTY,4,3.0,3.86
NIFTY,5,2.73,3.56
NIFTY,6,2.52,3.22
NIFTY,7,2.36,3.09
NIFTY,8,2.27,2.94
NIFTY,9,2.15,2.83
NIFTY,10,2.06,2.69
NIFTY,11,1.94,2.54
NIFTY,12,1.85,2.46
NIFTY,13,1.76,2.37
NIFTY,14,1.68,2.3
NIFTY,15,1.61,2.21
NIFTY,16,1.58,2.11
NIFTY,17,1.55,2.07
NIFTY,18,1.48,2.02
NIFTY,19,1.42,1.96
NIFTY,20,1.37,1.91
NIFTY,21,1.35,1.87
NIFTY,22,1.32,1.82
NIFTY,23,1.26,1.78
NIFTY,24,1.23,1.73
NIFTY,25,1.2,1.7
NIFTY,26,1.16,1.68
NIFTY,27,1.14,1.65
NIFTY,28,1.09,1.61
NIFTY,29,1.06,1.58
NIFTY,30,1.03,1.54
NIFTY,31,1.0,1.51
NIFTY,32,0.98,1.47
NIFTY,33,0.96,1.44
NIFTY,34,0.94,1.43
NIFTY,35,0.92,1.4
NIFTY,36,0.89,1.38
NIFTY,37,0.88,1.36
NIFTY,38,0.86,1.34
NIFTY,39,0.83,1.32
NIFTY,40,0.82,1.3
NIFTY,41,0.8,1.27
NIFTY,42,0.78,1.25
NIFTY,43,0.76,1.23
NIFTY,44,0.75,1.2
NIFTY,45,0.73,1.17
NIFTY,46,0.71,1.15
NIFTY,47,0.7,1.14
NIFTY,48,0.68,1.12
NIFTY,49,0.67,1.1
NIFTY,50,0.65,1.08
NIFTY,51,0.62,1.07
NIFTY,52,0.61,1.05
NIFTY,53,0.59,1.03
NIFTY,54,0.57,1.02
NIFTY,55,0.55,0.99
NIFTY,56,0.53,0.99
NIFTY,57,0.52,0.97
NIFTY,58,0.5,0.96
NIFTY,59,0.49,0.94
NIFTY,60,0.47,0.92
NIFTY,61,0.46,0.91
NIFTY,62,0.45,0.89
NIFTY,63,0.44,0.88
NIFTY,64,0.42,0.86
NIFTY,65,0.41,0.84
NIFTY,66,0.39,0.83
NIFTY,67,0.38,0.82
NIFTY,68,0.37,0.8
NIFTY,69,0.35,0.78
NIFTY,70,0.34,0.76
NIFTY,71,0.33,0.75
NIFTY,72,0.32,0.74
NIFTY,73,0.31,0.73
NIFTY,74,0.3,0.72
NIFTY,75,0.28,0.71
NIFTY,76,0.28,0.69
NIFTY,77,0.26,0.69
NIFTY,78,0.25,0.68
NIFTY,79,0.24,0.66
NIFTY,80,0.22,0.64
NIFTY,81,0.21,0.63
NIFTY,82,0.19,0.62
NIFTY,83,0.18,0.6
NIFTY,84,0.18,0.58
NIFTY,85,0.16,0.58
NIFTY,86,0.15,0.56
NIFTY,87,0.14,0.55
NIFTY,88,0.13,0.53
NIFTY,89,0.12,0.52
NIFTY,90,0.11,0.51
NIFTY,91,0.1,0.49
NIFTY,92,0.09,0.48
NIFTY,93,0.08,0.47
NIFTY,94,0.07,0.45
NIFTY,95,0.05,0.43
NIFTY,96,0.05,0.41
NIFTY,97,0.04,0.4
NIFTY,98,0.03,0.37
NIFTY,99,0.02,0.33
NIFTY,100,0.01,0.28
