Stock,Percentile,Abs Change Percentage,Peak Abs Change Percentage
SENSEX,1,15.26,15.85
SENSEX,2,4.96,5.98
SENSEX,3,4.03,4.63
SENSEX,4,3.63,4.11
SENSEX,5,3.37,3.86
SENSEX,6,3.12,3.8
SENSEX,7,2.98,3.65
SENSEX,8,2.91,3.53
SENSEX,9,2.82,3.42
SENSEX,10,2.71,3.3
SENSEX,11,2.67,3.24
SENSEX,12,2.6,3.17
SENSEX,13,2.49,3.1
SENSEX,14,2.38,3.01
SENSEX,15,2.29,2.92
SENSEX,16,2.24,2.84
SENSEX,17,2.18,2.76
SENSEX,18,2.13,2.7
SENSEX,19,2.03,2.63
SENSEX,20,1.97,2.58
SENSEX,21,1.95,2.5
SENSEX,22,1.91,2.41
SENSEX,23,1.89,2.35
SENSEX,24,1.84,2.32
SENSEX,25,1.8,2.28
SENSEX,26,1.78,2.24
SENSEX,27,1.72,2.21
SENSEX,28,1.68,2.19
SENSEX,29,1.61,2.15
SENSEX,30,1.57,2.12
SENSEX,31,1.5,2.09
SENSEX,32,1.46,2.07
SENSEX,33,1.41,2.06
SENSEX,34,1.38,2.01
SENSEX,35,1.36,1.98
SENSEX,36,1.34,1.95
SENSEX,37,1.3,1.92
SENSEX,38,1.27,1.9
SENSEX,39,1.24,1.85
SENSEX,40,1.21,1.83
SENSEX,41,1.19,1.81
SENSEX,42,1.16,1.79
SENSEX,43,1.13,1.76
SENSEX,44,1.1,1.74
SENSEX,45,1.08,1.72
SENSEX,46,1.04,1.69
SENSEX,47,1.03,1.66
SENSEX,48,0.99,1.64
SENSEX,49,0.97,1.61
SENSEX,50,0.94,1.59
SENSEX,51,0.93,1.55
SENSEX,52,0.92,1.52
SENSEX,53,0.89,1.49
SENSEX,54,0.86,1.47
SENSEX,55,0.84,1.45
SENSEX,56,0.81,1.42
SENSEX,57,0.8,1.4
SENSEX,58,0.78,1.38
SENSEX,59,0.75,1.37
SENSEX,60,0.72,1.34
SENSEX,61,0.69,1.32
SENSEX,62,0.68,1.31
SENSEX,63,0.64,1.29
SENSEX,64,0.62,1.26
SENSEX,65,0.59,1.25
SENSEX,66,0.57,1.22
SENSEX,67,0.56,1.21
SENSEX,68,0.54,1.18
SENSEX,69,0.53,1.17
SENSEX,70,0.51,1.15
SENSEX,71,0.5,1.14
SENSEX,72,0.48,1.13
SENSEX,73,0.46,1.11
SENSEX,74,0.45,1.08
SENSEX,75,0.44,1.07
SENSEX,76,0.42,1.05
SENSEX,77,0.41,1.02
SENSEX,78,0.39,1.0
SENSEX,79,0.38,0.98
SENSEX,80,0.37,0.97
SENSEX,81,0.36,0.95
SENSEX,82,0.33,0.94
SENSEX,83,0.32,0.93
SENSEX,84,0.3,0.9
SENSEX,85,0.27,0.9
SENSEX,86,0.25,0.88
SENSEX,87,0.24,0.86
SENSEX,88,0.22,0.84
SENSEX,89,0.21,0.82
SENSEX,90,0.19,0.79
SENSEX,91,0.17,0.77
SENSEX,92,0.15,0.75
SENSEX,93,0.13,0.72
SENSEX,94,0.12,0.7
SENSEX,95,0.11,0.67
SENSEX,96,0.08,0.65
SENSEX,97,0.06,0.59
SENSEX,98,0.05,0.55
SENSEX,99,0.03,0.53
SENSEX,100,0.01,0.47
