Start day	-	Friday
End day		-	Thursday

Analysis for: 0000_NIFTY

Average Absolute Change Percentage: 1.91%
Average Max Peak Change Percentage: 3.01%

Minimum Max Peak Change: 0.50% (Important Factor)

Percentile Analysis (Top 20 ranges):

Percentile   Abs Change   Max Peak Change
----------------------------------------
0-5%         8.72%         11.75%
5-10%        4.46%         6.11%
10-15%       3.60%         4.99%
15-20%       3.17%         4.38%
20-25%       2.85%         3.91%
25-30%       2.51%         3.57%
30-35%       2.26%         3.28%
35-40%       1.99%         3.05%
40-45%       1.73%         2.83%
45-50%       1.54%         2.60%
50-55%       1.39%         2.37%
55-60%       1.24%         2.20%
60-65%       1.07%         2.02%
65-70%       0.93%         1.86%
70-75%       0.78%         1.71%
75-80%       0.65%         1.57%
80-85%       0.51%         1.40%
85-90%       0.38%         1.23%
90-95%       0.24%         1.05%
95-100%      0.07%         0.84%

Average Friday-to-Thursday Changes Per Year:

Year   Abs Change   Max Peak Change
-----------------------------------
1996   2.45%         3.89%
1997   2.38%         3.96%
1998   2.54%         4.23%
1999   2.68%         4.41%
2000   2.31%         4.85%
2001   2.07%         3.54%
2002   1.54%         2.48%
2003   2.19%         3.00%
2004   1.96%         3.37%
2005   1.71%         2.62%
2006   2.16%         3.68%
2007   2.39%         3.67%
2008   3.37%         5.99%
2009   3.26%         4.65%
2010   1.57%         2.30%
2011   2.13%         3.06%
2012   1.30%         1.97%
2013   1.60%         2.42%
2014   1.34%         2.00%
2015   1.64%         2.36%
2016   1.69%         2.22%
2017   0.92%         1.42%
2018   1.13%         1.79%
2019   1.20%         1.88%
2020   2.55%         3.90%
2021   1.75%         2.46%
2022   1.61%         2.43%
2023   1.00%         1.55%
2024   1.24%         1.84%
2025   0.97%         1.63%

Monthly Absolute Change Percentages Table:

Month     Jan    Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec
Year                                                                            
1996     3.44   3.53  2.60  0.75  3.66  3.03  1.39  0.82  2.36  2.95  3.38  3.10
1997     0.50  12.88  0.34  2.15  3.40  3.87  3.08  2.91  0.64  4.52  1.19  1.86
1998     1.31   2.13  1.50  1.23  3.40  0.48  3.08  0.39  3.68  0.04  0.57  3.10
1999     2.74  10.62  2.13  7.03  5.10  0.53  1.00  2.94  0.06  0.86  0.66  1.47
2000     0.08   0.81  4.94  1.85  5.77  3.08  0.94  0.93  1.03  3.92  3.51  3.49
2001     3.08   2.85  2.91  1.88  0.60  3.44  1.36  1.67  0.24  0.67  0.77  3.72
2002     0.44   1.84  0.78  0.37  3.46  1.21  1.62  0.20  2.89  2.06  0.40  0.49
2003     2.09   3.02  0.85  0.96  2.81  1.70  1.99  1.19  2.65  3.62  3.71  4.09
2004     0.29   2.42  4.13  2.04  0.90  3.27  1.39  1.26  1.34  2.68  1.53  3.95
2005     3.54   3.30  4.44  3.20  0.57  1.20  2.40  2.07  0.86  3.72  1.30  2.23
2006     0.51   3.30  4.24  3.99  7.71  0.90  1.89  0.83  0.65  1.39  0.09  0.56
2007     1.41   3.24  1.82  1.65  1.12  0.83  2.00  1.22  3.73  2.88  3.33  1.63
2008     4.57   3.41  3.45  3.78  3.97  5.10  0.49  2.01  3.17  0.24  1.19  6.17
2009     3.30   6.76  3.29  1.16  2.78  0.61  1.10  2.93  2.51  1.14  3.84  3.82
2010     0.75   3.21  0.16  3.55  0.87  0.33  1.48  1.43  0.19  4.39  4.52  1.41
2011     0.26   4.39  3.17  5.04  1.36  3.22  2.74  0.12  3.03  1.77  4.82  2.72
2012     1.25   1.65  1.88  0.04  0.08  0.92  2.51  0.38  1.48  0.34  0.87  1.71
2013     0.66   2.69  0.55  2.18  1.08  0.09  2.69  2.21  1.31  2.51  1.05  1.47
2014     0.87   1.98  0.60  0.05  3.38  2.74  0.89  0.52  2.58  3.02  0.28  1.02
2015     1.10   1.05  2.67  1.49  3.59  0.76  0.65  2.24  1.42  1.37  0.99  1.28
2016     2.11   6.34  0.03  1.46  0.76  2.46  1.01  2.36  1.14  1.77  0.97  1.08
