Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,888717,2425,ZOMAOPT,ETERNAL25SEP375PE,25-SEP-2025,OPTSTK,PE,375,0.05,
BFO,888685,2425,ZOMAOPT,ETERNAL25SEP370PE,25-SEP-2025,OPTSTK,PE,370,0.05,
BFO,878354,2425,ZOMAOPT,ETERNAL25SEP365PE,25-SEP-2025,OPTSTK,PE,365,0.05,
BFO,872937,2425,ZOMAOPT,ETERNAL25SEP360PE,25-SEP-2025,OPTSTK,PE,360,0.05,
BFO,865457,2425,ZOMAOPT,ETERNAL25SEP355PE,25-SEP-2025,OPTSTK,PE,355,0.05,
BFO,865435,2425,ZOMAOPT,ETERNAL25SEP350PE,25-SEP-2025,OPTSTK,PE,350,0.05,
BFO,859165,2425,ZOMAOPT,ETERNAL25SEP345PE,25-SEP-2025,OPTSTK,PE,345,0.05,
BFO,859145,2425,ZOMAOPT,ETERNAL25SEP340PE,25-SEP-2025,OPTSTK,PE,340,0.05,
BFO,858629,2425,ZOMAOPT,ETERNAL25SEP335PE,25-SEP-2025,OPTSTK,PE,335,0.05,
BFO,858614,2425,ZOMAOPT,ETERNAL25SEP330PE,25-SEP-2025,OPTSTK,PE,330,0.05,
BFO,858692,2425,ZOMAOPT,ETERNAL25SEP325PE,25-SEP-2025,OPTSTK,PE,325,0.05,
BFO,858683,2425,ZOMAOPT,ETERNAL25SEP320PE,25-SEP-2025,OPTSTK,PE,320,0.05,
BFO,858761,2425,ZOMAOPT,ETERNAL25SEP315PE,25-SEP-2025,OPTSTK,PE,315,0.05,
BFO,858749,2425,ZOMAOPT,ETERNAL25SEP310PE,25-SEP-2025,OPTSTK,PE,310,0.05,
BFO,856807,2425,ZOMAOPT,ETERNAL25SEP305PE,25-SEP-2025,OPTSTK,PE,305,0.05,
BFO,844380,2425,ZOMAOPT,ETERNAL25SEP300PE,25-SEP-2025,OPTSTK,PE,300,0.05,
BFO,843817,2425,ZOMAOPT,ETERNAL25SEP295PE,25-SEP-2025,OPTSTK,PE,295,0.05,
BFO,841402,2425,ZOMAOPT,ETERNAL25SEP290PE,25-SEP-2025,OPTSTK,PE,290,0.05,
