SYMBOL,COMPANY NAME,MARKET CAP,MARKET CAP CATEGORY,EXCHANGE,KITE_ID,SHOONYA_TOKEN
RELIANCE,Reliance Industries Limited,1818619.177,Large Cap,NSE,738561,2885
TCS,Tata Consultancy Services Limited,1477863.119,Large Cap,NSE,2953217,11536
HDFCBANK,HDFC Bank Limited,1325508.487,Large Cap,NSE,341249,1333
BHARTIARTL,Bharti Airtel Limited,977528.8943,Large Cap,NSE,2714625,10604
ICICIBANK,ICICI Bank Limited,924791.4983,Large Cap,NSE,1270529,4963
INFY,Infosys Limited,746413.5688,Large Cap,NSE,408065,1594
SBIN,State Bank of India,734005.3496,Large Cap,NSE,779521,3045
ITC,ITC Limited,614914.2741,Large Cap,NSE,424961,1660
HINDUNILVR,Hindustan Unilever Limited,600673.8256,Large Cap,NSE,356865,1394
LICI,Life Insurance Corporation Of India,591355.9171,Large Cap,NSE,2426881,9480
HCLTECH,HCL Technologies Limited,498079.472,Large Cap,NSE,1850625,7229
LT,Larsen & Toubro Limited,468644.7378,Large Cap,NSE,2939649,11483
SUNPHARMA,Sun Pharmaceutical Industries Limited,444379.9028,Large Cap,NSE,857857,3351
BAJFINANCE,Bajaj Finance Limited,430159.7966,Large Cap,NSE,81153,317
NTPC,NTPC Limited,396204.9659,Large Cap,NSE,2977281,11630
AXISBANK,Axis Bank Limited,362079.6367,Large Cap,NSE,1510401,5900
MARUTI,Maruti Suzuki India Limited,353906.1703,Large Cap,NSE,2815745,10999
TATAMOTORS,Tata Motors Limited,348244.4104,Large Cap,NSE,884737,3456
KOTAKBANK,Kotak Mahindra Bank Limited,344866.2393,Large Cap,NSE,492033,1922
ADANIENT,Adani Enterprises Limited,342710.6554,Large Cap,NSE,6412,25
ADANIENT,Adani Enterprises Limited,342710.6554,Large Cap,NSE,6401,25
ONGC,Oil & Natural Gas Corporation Limited,329286.5233,Large Cap,NSE,633601,2475
M&M,Mahindra & Mahindra Limited,324569.2944,Large Cap,NSE,519937,2031
ULTRACEMCO,UltraTech Cement Limited,323055.3604,Large Cap,NSE,2952193,11532
ADANIPORTS,Adani Ports and Special Economic Zone Limited,301829.1151,Large Cap,NSE,3861249,15083
POWERGRID,Power Grid Corporation of India Limited,296269.9583,Large Cap,NSE,3834113,14977
WIPRO,Wipro Limited,295381.0018,Large Cap,NSE,969473,3787
TITAN,Titan Company Limited,293474.4023,Large Cap,NSE,897537,3506
ASIANPAINT,Asian Paints Limited,287371.2181,Large Cap,NSE,60417,236
HAL,Hindustan Aeronautics Limited,283462.2579,Large Cap,NSE,589569,2303
BAJAJFINSV,Bajaj Finserv Limited,279608.6362,Large Cap,NSE,4268801,16675
BAJAJ-AUTO,Bajaj Auto Limited,277600.587,Large Cap,NSE,4267265,16669
COALINDIA,Coal India Limited,276799.003,Large Cap,NSE,5215745,20374
ADANIGREEN,Adani Green Energy Limited,259059.9283,Large Cap,NSE,912129,3563
TRENT,Trent Limited,257956.5904,Large Cap,NSE,502785,1964
DMART,Avenue Supermarts Limited,255897.5017,Large Cap,NSE,5097729,19913
SIEMENS,Siemens Limited,246793.6338,Large Cap,NSE,806401,3150
