segment,name,exchange,instrument_type,instrument_key,exchange_token,trading_symbol
NSE_INDEX,NIFTY100 Qualty30,NSE,INDEX,NSE_INDEX|NIFTY100 Qualty30,26048,NIFTY100 QUALTY30
BSE_INDEX,BSE India Defence,BSE,INDEX,BSE_INDEX|INDDEF,96,INDDEF
NSE_INDEX,Nifty Consumption,NSE,INDEX,NSE_INDEX|Nifty Consumption,26036,NIFTY CONSUMPTION
NSE_INDEX,Nifty Rural,NSE,INDEX,NSE_INDEX|Nifty Rural,26125,NIFTY RURAL
BSE_INDEX,BSE FINANCIAL SERVCS,BSE,INDEX,BSE_INDEX|FINSER,40,FINSER
NSE_INDEX,Nifty CoreHousing,NSE,INDEX,NSE_INDEX|Nifty CoreHousing,26117,NIFTY COREHOUSING
NSE_INDEX,Nifty Realty,NSE,INDEX,NSE_INDEX|Nifty Realty,26018,NIFTY REALTY
NSE_INDEX,Nifty RailwaysPSU,NSE,INDEX,NSE_INDEX|Nifty RailwaysPSU,26146,NIFTY RAILWAYSPSU
BSE_INDEX,BSE INDIA 150,BSE,INDEX,BSE_INDEX|IND150,90,IND150
BSE_INDEX,BSE BANKEX,BSE,INDEX,BSE_INDEX|BANKEX,12,BANKEX
NSE_INDEX,NIFTY100 ESG,NSE,INDEX,NSE_INDEX|NIFTY100 ESG,26078,NIFTY100 ESG
NSE_INDEX,Nifty FPI 150,NSE,INDEX,NSE_INDEX|Nifty FPI 150,26139,NIFTY FPI 150
BSE_INDEX,BSE REALTY,BSE,INDEX,BSE_INDEX|REALTY,21,REALTY
NSE_INDEX,Nifty InfraLog,NSE,INDEX,NSE_INDEX|Nifty InfraLog,26144,NIFTY INFRALOG
BSE_INDEX,BSE SENSEX SIXTY,BSE,INDEX,BSE_INDEX|SNSX60,69,SNSX60
BSE_INDEX,BSE 1000,BSE,INDEX,BSE_INDEX|BS1000,83,BS1000
BSE_INDEX,BSE Top 10 Banks,BSE,INDEX,BSE_INDEX|T10BNK,102,T10BNK
NSE_INDEX,Nifty EV,NSE,INDEX,NSE_INDEX|Nifty EV,26101,NIFTY EV
NSE_INDEX,Nifty IT,NSE,INDEX,NSE_INDEX|Nifty IT,26008,NIFTY IT
NSE_INDEX,Nifty PSE,NSE,INDEX,NSE_INDEX|Nifty PSE,26024,NIFTY PSE
NSE_INDEX,Nifty 50,NSE,INDEX,NSE_INDEX|Nifty 50,26000,NIFTY
