segment,name,exchange,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,qty_multiplier,isin,security_type,mtf_enabled,mtf_bracket,short_name
NSE_EQ,ENVIRO INFRA ENGINEERS L,NSE,EQ,NSE_EQ|INE0LLY01014,1.0,100000.0,27213,1.0,EIEL,1.0,INE0LLY01014,NORMAL,True,35.0,
NSE_EQ,MARUTI SUZUKI INDIA LTD.,NSE,EQ,NSE_EQ|INE585B01010,1.0,100000.0,10999,100.0,MARUTI,1.0,INE585B01010,NORMAL,True,26.5,Maruti Suzuki
NSE_EQ,NATIONAL ALUMINIUM CO LTD,NSE,EQ,NSE_EQ|INE139A01034,1.0,100000.0,6364,5.0,NATIONALUM,1.0,INE139A01034,NORMAL,True,35.05,National Aluminium
NSE_EQ,TRANS & RECTI. LTD,NSE,EQ,NSE_EQ|INE763I01026,1.0,100000.0,15174,1.0,TARIL,1.0,INE763I01026,NORMAL,True,43.98,Trans & Recti
NSE_EQ,GOKUL AGRO RESOURCES LTD,NSE,EQ,NSE_EQ|INE314T01033,1.0,100000.0,14480,1.0,GOKULAGRO,1.0,INE314T01033,NORMAL,True,36.56,
NSE_EQ,KOTAKMAMC - CHEMICAL,NSE,EQ,NSE_EQ|INF174KA1XV0,1.0,100000.0,759885,1.0,CHEMICAL,1.0,INF174KA1XV0,NORMAL,True,26.5,
NSE_EQ,LEMON TREE HOTELS LTD,NSE,EQ,NSE_EQ|INE970X01018,1.0,100000.0,2606,1.0,LEMONTREE,1.0,INE970X01018,NORMAL,True,31.13,Lemon Tree Hotels
NSE_EQ,KOTAKMAMC - MOMENTUM30,NSE,EQ,NSE_EQ|INF174KA1XS6,1.0,100000.0,759488,1.0,MOMENTUM30,1.0,INF174KA1XS6,NORMAL,True,25.0,
NSE_EQ,ICICIPRAMC - TOP15IETF,NSE,EQ,NSE_EQ|INF109K1A344,1.0,100000.0,757781,1.0,TOP15IETF,1.0,INF109K1A344,NORMAL,True,25.0,
NSE_EQ,KOTAKMAMC - QUALITY30,NSE,EQ,NSE_EQ|INF174KA1WT6,1.0,100000.0,757946,1.0,QUALITY30,1.0,INF174KA1WT6,NORMAL,True,25.0,
NSE_EQ,SG FINSERVE LIMITED,NSE,EQ,NSE_EQ|INE618R01015,1.0,100000.0,758853,5.0,SGFIN,1.0,INE618R01015,NORMAL,True,35.0,
NSE_EQ,MANAPPURAM FINANCE LTD,NSE,EQ,NSE_EQ|INE522D01027,1.0,100000.0,19061,5.0,MANAPPURAM,1.0,INE522D01027,NORMAL,True,31.99,Manappuram Finance
NSE_EQ,IOL CHEM AND PHARMA LTD,NSE,EQ,NSE_EQ|INE485C01029,1.0,100000.0,20413,1.0,IOLCP,1.0,INE485C01029,NORMAL,True,35.18,
NSE_EQ,SHARE IND. SECURITIES LTD,NSE,EQ,NSE_EQ|INE932X01026,1.0,100000.0,104,1.0,SHAREINDIA,1.0,INE932X01026,NORMAL,True,36.16,
NSE_EQ,BOMBAY DYEING & MFG. CO L,NSE,EQ,NSE_EQ|INE032A01023,1.0,100000.0,513,1.0,BOMDYEING,1.0,INE032A01023,NORMAL,True,35.0,Bombay Dyeing & MFG. CO
NSE_EQ,INGERSOLL-RAND INDIA LTD,NSE,EQ,NSE_EQ|INE177A01018,1.0,100000.0,1597,10.0,INGERRAND,1.0,INE177A01018,NORMAL,True,35.0,Ingersoll-Rand India
NSE_EQ,JAIN IRRIGATION SYSTEMS,NSE,EQ,NSE_EQ|INE175A01038,1.0,100000.0,10397,1.0,JISLJALEQS,1.0,INE175A01038,NORMAL,True,36.07,Jain Irrigation Systems
NSE_EQ,KOTAKMAMC - MID150,NSE,EQ,NSE_EQ|INF174KA1VW2,1.0,100000.0,30469,1.0,MID150,1.0,INF174KA1VW2,NORMAL,True,25.0,
NSE_EQ,KOTAKMAMC - MSCIINDIA,NSE,EQ,NSE_EQ|INF174KA1VD2,1.0,100000.0,29758,1.0,MSCIINDIA,1.0,INF174KA1VD2,NORMAL,True,25.0,
NSE_EQ,KOTAKMAMC - NIFTY100EW,NSE,EQ,NSE_EQ|INF174KA1UW4,1.0,100000.0,29944,1.0,NIFTY100EW,1.0,INF174KA1UW4,NORMAL,True,25.0,
NSE_EQ,ICICIPRAMC - EVIETF,NSE,EQ,NSE_EQ|INF109K1A153,1.0,100000.0,755881,1.0,EVIETF,1.0,INF109K1A153,NORMAL,True,26.5,
NSE_EQ,FIEM INDUSTRIES LIMITED,NSE,EQ,NSE_EQ|INE737H01014,1.0,100000.0,13710,10.0,FIEMIND,1.0,INE737H01014,NORMAL,True,35.0,Fiem Industries
NSE_EQ,SHEELA FOAM LIMITED,NSE,EQ,NSE_EQ|INE916U01025,1.0,100000.0,19184,5.0,SFL,1.0,INE916U01025,NORMAL,True,35.0,Sheela Foam
NSE_EQ,MAHINDRA LOGISTIC LIMITED,NSE,EQ,NSE_EQ|INE766P01016,1.0,100000.0,385,5.0,MAHLOG,1.0,INE766P01016,NORMAL,True,35.0,Mahindra Logistics
NSE_EQ,G R INFRAPROJECTS LIMITED,NSE,EQ,NSE_EQ|INE201P01022,1.0,100000.0,5054,5.0,GRINFRA,1.0,INE201P01022,NORMAL,True,35.0,G R Infraprojects
NSE_EQ,SIEMENS ENERGY INDIA LTD,NSE,EQ,NSE_EQ|INE1NPP01017,1.0,100000.0,756871,10.0,ENRIN,1.0,INE1NPP01017,NORMAL,True,27.54,
NSE_EQ,TATVA CHIN PHARM CHEM LTD,NSE,EQ,NSE_EQ|INE0GK401011,1.0,100000.0,5162,10.0,TATVA,1.0,INE0GK401011,NORMAL,True,38.24,Tatva Chintan Pharma Chem
NSE_EQ,CHALET HOTELS LIMITED,NSE,EQ,NSE_EQ|INE427F01016,1.0,100000.0,8546,5.0,CHALET,1.0,INE427F01016,NORMAL,True,29.8,Chalet Hotels
NSE_EQ,DALMIA BHARAT LIMITED,NSE,EQ,NSE_EQ|INE00R701025,1.0,100000.0,8075,10.0,DALBHARAT,1.0,INE00R701025,NORMAL,True,27.4,Dalmia Bharat
NSE_EQ,JUBILANT AGRI N CON PRO L,NSE,EQ,NSE_EQ|INE03CC01015,1.0,100000.0,29590,10.0,JUBLCPL,1.0,INE03CC01015,NORMAL,True,35.05,
NSE_EQ,SAI SILKS (KALAMANDIR) L,NSE,EQ,NSE_EQ|INE438K01021,1.0,100000.0,18755,1.0,KALAMANDIR,1.0,INE438K01021,NORMAL,True,36.21,
NSE_EQ,BAJAJ AUTO LIMITED,NSE,EQ,NSE_EQ|INE917I01010,1.0,100000.0,16669,50.0,BAJAJ-AUTO,1.0,INE917I01010,NORMAL,True,26.5,Bajaj Auto
NSE_EQ,CIGNITI TECHNOLOGIES LTD,NSE,EQ,NSE_EQ|INE675C01017,1.0,100000.0,5142,10.0,CIGNITITEC,1.0,INE675C01017,NORMAL,True,35.0,Cigniti Technologies
NSE_EQ,TATA MOTORS LIMITED,NSE,EQ,NSE_EQ|INE1TAE01010,1.0,100000.0,759782,5.0,TMCV,1.0,INE1TAE01010,NORMAL,True,35.0,
NSE_EQ,KIRLOSKAR OIL ENG LTD,NSE,EQ,NSE_EQ|INE146L01010,1.0,100000.0,20936,10.0,KIRLOSENG,1.0,INE146L01010,NORMAL,True,34.78,Kirloskar Oil and Engineering
NSE_EQ,DR AGARWALS HEALTH CARE L,NSE,EQ,NSE_EQ|INE943P01029,1.0,100000.0,29452,5.0,AGARWALEYE,1.0,INE943P01029,NORMAL,True,27.72,
NSE_EQ,KOTAK NIFTY ETF,NSE,EQ,NSE_EQ|INF174K014P6,1.0,100000.0,18102,1.0,NIFTY1,1.0,INF174K014P6,NORMAL,True,25.0,Kotak Nifty ETF
NSE_EQ,HINDUSTAN ZINC LIMITED,NSE,EQ,NSE_EQ|INE267A01025,1.0,100000.0,1424,5.0,HINDZINC,1.0,INE267A01025,NORMAL,True,35.0,Hindustan Zinc
NSE_EQ,360 ONE WAM LIMITED,NSE,EQ,NSE_EQ|INE466L01038,1.0,100000.0,13061,10.0,360ONE,1.0,INE466L01038,NORMAL,True,31.8,360 One Wam
NSE_EQ,TECHNOCRAFT IND LTD,NSE,EQ,NSE_EQ|INE545H01011,1.0,100000.0,14223,10.0,TIIL,1.0,INE545H01011,NORMAL,True,35.22,Technocraft Industries
